Date,Price,Price(t-1),Price(t-2),Price(t-3),Price(t-4),cement
2022-06-05,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-06-06,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-06-07,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-06-08,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-06-09,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-06-10,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-06-11,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-06-12,1280.00000,1300.00000,1300.00000,1300.00000,1300.00000,1.85714
2022-06-13,1280.00000,1280.00000,1300.00000,1300.00000,1300.00000,1.85714
2022-06-14,1280.00000,1280.00000,1280.00000,1300.00000,1300.00000,1.85714
2022-06-15,1280.00000,1280.00000,1280.00000,1280.00000,1300.00000,1.85714
2022-06-16,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,1.85714
2022-06-17,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,1.85714
2022-06-18,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,1.85714
2022-06-19,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,0.00000
2022-06-20,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,0.00000
2022-06-21,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,0.00000
2022-06-22,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,0.00000
2022-06-23,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,0.00000
2022-06-24,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,0.00000
2022-06-25,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,0.00000
2022-06-26,1280.00000,1280.00000,1280.00000,1280.00000,1280.00000,0.57143
2022-06-27,1290.00000,1280.00000,1280.00000,1280.00000,1280.00000,0.57143
2022-06-28,1290.00000,1290.00000,1280.00000,1280.00000,1280.00000,0.57143
2022-06-29,1300.00000,1290.00000,1290.00000,1280.00000,1280.00000,0.57143
2022-06-30,1300.00000,1300.00000,1290.00000,1290.00000,1280.00000,0.57143
2022-07-01,1300.00000,1300.00000,1300.00000,1290.00000,1290.00000,0.57143
2022-07-02,1300.00000,1300.00000,1300.00000,1300.00000,1290.00000,0.57143
2022-07-03,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-04,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-05,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-06,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-07,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-08,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-09,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-10,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-11,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-12,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-13,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-14,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-15,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-16,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.28571
2022-07-17,1300.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.42857
2022-07-18,1330.00000,1300.00000,1300.00000,1300.00000,1300.00000,0.42857
2022-07-19,1330.00000,1330.00000,1300.00000,1300.00000,1300.00000,0.42857
2022-07-20,1350.00000,1330.00000,1330.00000,1300.00000,1300.00000,0.42857
2022-07-21,1350.00000,1350.00000,1330.00000,1330.00000,1300.00000,0.42857
2022-07-22,1350.00000,1350.00000,1350.00000,1330.00000,1330.00000,0.42857
2022-07-23,1350.00000,1350.00000,1350.00000,1350.00000,1330.00000,0.42857
2022-07-24,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-07-25,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-07-26,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-07-27,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-07-28,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-07-29,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-07-30,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-07-31,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-01,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-02,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-03,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-04,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-05,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-06,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-07,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.57143
2022-08-08,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.57143
2022-08-09,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.57143
2022-08-10,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.57143
2022-08-11,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.57143
2022-08-12,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.57143
2022-08-13,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.57143
2022-08-14,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-15,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-16,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-17,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-18,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-19,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-20,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.28571
2022-08-21,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-08-22,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-08-23,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-08-24,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-08-25,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-08-26,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-08-28,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-08-29,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-08-30,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-08-31,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-09-01,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-09-02,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-09-03,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-09-04,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-09-05,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.42857
2022-09-06,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.42857
2022-09-07,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.42857
2022-09-08,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.42857
2022-09-09,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.42857
2022-09-10,1350.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.42857
2022-09-11,1430.00000,1350.00000,1350.00000,1350.00000,1350.00000,0.42857
2022-09-12,1430.00000,1430.00000,1350.00000,1350.00000,1350.00000,0.00000
2022-09-13,1430.00000,1430.00000,1430.00000,1350.00000,1350.00000,0.00000
2022-09-14,1430.00000,1430.00000,1430.00000,1430.00000,1350.00000,0.00000
2022-09-15,1430.00000,1430.00000,1430.00000,1430.00000,1430.00000,0.00000
2022-09-16,1430.00000,1430.00000,1430.00000,1430.00000,1430.00000,0.00000
2022-09-17,1430.00000,1430.00000,1430.00000,1430.00000,1430.00000,0.00000
2022-09-18,1430.00000,1430.00000,1430.00000,1430.00000,1430.00000,0.00000
2022-09-19,1410.00000,1430.00000,1430.00000,1430.00000,1430.00000,0.42857
2022-09-20,1410.00000,1410.00000,1430.00000,1430.00000,1430.00000,0.42857
2022-09-21,1410.00000,1410.00000,1410.00000,1430.00000,1430.00000,0.42857
2022-09-22,1410.00000,1410.00000,1410.00000,1410.00000,1430.00000,0.42857
2022-09-23,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.42857
2022-09-24,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.42857
2022-09-25,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.42857
2022-09-26,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-09-27,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-09-28,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-09-29,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-09-30,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-01,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-02,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-03,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-04,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-05,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-06,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-07,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-08,1410.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-09,1430.00000,1410.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-10,1430.00000,1430.00000,1410.00000,1410.00000,1410.00000,0.28571
2022-10-11,1430.00000,1430.00000,1430.00000,1410.00000,1410.00000,0.28571
2022-10-12,1430.00000,1430.00000,1430.00000,1430.00000,1410.00000,0.28571
2022-10-13,1430.00000,1430.00000,1430.00000,1430.00000,1430.00000,0.28571
2022-10-14,1430.00000,1430.00000,1430.00000,1430.00000,1430.00000,0.28571
2022-10-15,1453.33333,1430.00000,1430.00000,1430.00000,1430.00000,0.28571
2022-10-16,1496.66667,1453.33333,1430.00000,1430.00000,1430.00000,0.28571
2022-10-17,1500.00000,1496.66667,1453.33333,1430.00000,1430.00000,0.00000
2022-10-18,1500.00000,1500.00000,1496.66667,1453.33333,1430.00000,0.00000
2022-10-19,1500.00000,1500.00000,1500.00000,1496.66667,1453.33333,0.00000
2022-10-20,1500.00000,1500.00000,1500.00000,1500.00000,1496.66667,0.00000
2022-10-21,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-10-22,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-10-23,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-10-24,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,1.00000
2022-10-25,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,1.00000
2022-10-26,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,1.00000
2022-10-27,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,1.00000
2022-10-28,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,1.00000
2022-10-29,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,1.00000
2022-10-30,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,1.00000
2022-10-31,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.42857
2022-11-01,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.42857
2022-11-02,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.42857
2022-11-03,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.42857
2022-11-04,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.42857
2022-11-05,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.42857
2022-11-06,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.42857
2022-11-07,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-11-08,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-11-09,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-11-10,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-11-11,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-11-12,1500.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-11-13,1580.00000,1500.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-11-14,1580.00000,1580.00000,1500.00000,1500.00000,1500.00000,0.00000
2022-11-15,1580.00000,1580.00000,1580.00000,1500.00000,1500.00000,0.00000
2022-11-16,1580.00000,1580.00000,1580.00000,1580.00000,1500.00000,0.00000
2022-11-17,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-18,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-19,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-20,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-21,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-22,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-23,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-24,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-25,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-26,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-27,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.00000
2022-11-28,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.42857
2022-11-29,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.42857
2022-11-30,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.42857
2022-12-01,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.42857
2022-12-02,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.42857
2022-12-03,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.42857
2022-12-04,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.42857
2022-12-05,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.28571
2022-12-06,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.28571
2022-12-07,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.28571
2022-12-08,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.28571
2022-12-09,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.28571
2022-12-10,1580.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.28571
2022-12-11,1620.00000,1580.00000,1580.00000,1580.00000,1580.00000,0.28571
2022-12-12,1620.00000,1620.00000,1580.00000,1580.00000,1580.00000,0.42857
2022-12-13,1620.00000,1620.00000,1620.00000,1580.00000,1580.00000,0.42857
2022-12-14,1620.00000,1620.00000,1620.00000,1620.00000,1580.00000,0.42857
2022-12-15,1660.00000,1620.00000,1620.00000,1620.00000,1620.00000,0.42857
2022-12-16,1660.00000,1660.00000,1620.00000,1620.00000,1620.00000,0.42857
2022-12-17,1660.00000,1660.00000,1660.00000,1620.00000,1620.00000,0.42857
2022-12-18,1660.00000,1660.00000,1660.00000,1660.00000,1620.00000,0.42857
2022-12-19,1660.00000,1660.00000,1660.00000,1660.00000,1660.00000,0.57143
2022-12-20,1660.00000,1660.00000,1660.00000,1660.00000,1660.00000,0.57143
2022-12-21,1660.00000,1660.00000,1660.00000,1660.00000,1660.00000,0.57143
2022-12-22,1660.00000,1660.00000,1660.00000,1660.00000,1660.00000,0.57143
2022-12-23,1660.00000,1660.00000,1660.00000,1660.00000,1660.00000,0.57143
2022-12-24,1660.00000,1660.00000,1660.00000,1660.00000,1660.00000,0.57143
2022-12-25,1700.00000,1660.00000,1660.00000,1660.00000,1660.00000,0.57143
2022-12-26,1700.00000,1700.00000,1660.00000,1660.00000,1660.00000,0.00000
2022-12-27,1700.00000,1700.00000,1700.00000,1660.00000,1660.00000,0.00000
2022-12-28,1700.00000,1700.00000,1700.00000,1700.00000,1660.00000,0.00000
2022-12-29,1700.00000,1700.00000,1700.00000,1700.00000,1700.00000,0.00000
2022-12-30,1700.00000,1700.00000,1700.00000,1700.00000,1700.00000,0.00000
2022-12-31,1700.00000,1700.00000,1700.00000,1700.00000,1700.00000,0.00000
2023-01-01,1700.00000,1700.00000,1700.00000,1700.00000,1700.00000,0.00000
2023-01-02,1720.00000,1700.00000,1700.00000,1700.00000,1700.00000,0.00000
2023-01-03,1720.00000,1720.00000,1700.00000,1700.00000,1700.00000,0.00000
2023-01-04,1720.00000,1720.00000,1720.00000,1700.00000,1700.00000,0.00000
2023-01-05,1720.00000,1720.00000,1720.00000,1720.00000,1700.00000,0.00000
2023-01-06,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.00000
2023-01-07,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.00000
2023-01-08,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.00000
2023-01-09,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.42857
2023-01-10,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.42857
2023-01-11,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.42857
2023-01-12,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.42857
2023-01-13,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.42857
2023-01-14,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.42857
2023-01-15,1720.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.42857
2023-01-16,1745.00000,1720.00000,1720.00000,1720.00000,1720.00000,0.14286
2023-01-17,1770.00000,1745.00000,1720.00000,1720.00000,1720.00000,0.14286
2023-01-18,1770.00000,1770.00000,1745.00000,1720.00000,1720.00000,0.14286
2023-01-19,1770.00000,1770.00000,1770.00000,1745.00000,1720.00000,0.14286
2023-01-20,1770.00000,1770.00000,1770.00000,1770.00000,1745.00000,0.14286
2023-01-21,1770.00000,1770.00000,1770.00000,1770.00000,1770.00000,0.14286
2023-01-22,1770.00000,1770.00000,1770.00000,1770.00000,1770.00000,0.14286
2023-01-23,1790.00000,1770.00000,1770.00000,1770.00000,1770.00000,0.00000
2023-01-24,1790.00000,1790.00000,1770.00000,1770.00000,1770.00000,0.00000
2023-01-25,1790.00000,1790.00000,1790.00000,1770.00000,1770.00000,0.00000
2023-01-26,1790.00000,1790.00000,1790.00000,1790.00000,1770.00000,0.00000
2023-01-27,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-01-28,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-01-29,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-01-30,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-01-31,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-01,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-02,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-03,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-04,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-05,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-06,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-07,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-08,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-09,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-10,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-11,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-12,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-13,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-14,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-15,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-16,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-17,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-18,1790.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-19,1810.00000,1790.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-20,1810.00000,1810.00000,1790.00000,1790.00000,1790.00000,0.00000
2023-02-21,1810.00000,1810.00000,1810.00000,1790.00000,1790.00000,0.00000
2023-02-22,1810.00000,1810.00000,1810.00000,1810.00000,1790.00000,0.00000
2023-02-23,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-02-24,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-02-25,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-02-26,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-02-27,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-02-28,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-03-01,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-03-02,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-03-03,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-03-04,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-03-05,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-03-06,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-03-07,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
2023-03-08,1810.00000,1810.00000,1810.00000,1810.00000,1810.00000,0.00000
